code,iata,icao,lat,lon,name,city,region,country,continent
JFK,JFK,KJFK,40.639722,-73.778889,John F. Kennedy International Airport,New York City,New York,United States,North America
BDA,BDA,TXKF,32.364167,-64.678611,L. F. Wade International Airport,St. Davids Island,St. George's Parish,Bermuda,North America
EWR,EWR,KEWR,40.6925,-74.168611,Newark Liberty International Airport,Newark,New Jersey,United States,North America
DFW,DFW,KDFW,32.896944,-97.038056,Dallas/Fort Worth International Airport,Dallas,Texas,United States,North America
VPS,VPS,KVPS,30.483333,-86.525278,Northwest Florida Regional Airport,Valpariso,Florida,United States,North America
PNS,PNS,KPNS,30.473333,-87.186667,Pensacola Regonal Airport,Pensacola,Florida,United States,North America
ORD,ORD,KORD,41.978611,-87.904722,OHare International Airport,Chicago,Illinois,United States,North America
SFO,SFO,KSFO,37.618889,-122.375,San Francisco International Airport,San Francisco,California,United States,North America
LAX,LAX,KLAX,33.9425,-118.408056,Los Angeles International Airport,Los Angeles,California,United States,North America
LGA,LGA,KLGA,40.77725,-73.872611,LaGuardia Airport,New York City,New York,United States,North America
LGW,LGW,EGKK,51.147222,-0.190278,London Gatwick Airport,London,West Sussex,England,Europe
LHR,LHR,EGLL,51.4775,-0.461389,London Heathrow Airport,London,Greater London,England,Europe
DXB,DXB,OMDB,25.252778,55.364444,Dubai International Airport,Dubai,Dubai,United Arab Emirates,Asia
FCO,FCO,LIRF,41.800278,12.238889,Fiumicino International Airport,Rome,Lazio,Italy,Europe
MXP,MXP,LIMC,45.63,8.723056,Malpensa International Airport,Milan,Lombardy,Italy,Europe
MAD,MAD,LEMD,40.472222,-3.560833,Barajas International Airport,Madrid,Madrid,Spain,Europe
CDG,CDG,LFPG,49.009722,2.547778,Paris Charles de Gaulle Airport,Paris,Ile-de-France,France,Europe
XNA,XNA,KXNA,36.281667,-94.307778,Northwest Arkansas Regional Airport,Fayetteville,Arkansas,United States,North America
YYZ,YYZ,CYYZ,43.676667,-79.630556,Toronto Pearson International Airport,Toronto,Ontario,Canada,North America
NRT,NRT,RJAA,35.765278,140.385556,Narita International Airport,Tokyo,Kanto,Japan,Asia
KIX,KIX,RJBB,34.784444,135.439167,Kansai International Airport,Osaka,Kansai,Japan,Asia
SEA,SEA,KSEA,47.448889,-122.309444,Seattle-Tacoma International Airport,Seattle,Washington,United States,North America
PDX,PDX,KPDX,45.588611,-122.5975,Portland International Airport,Portland,Oregon,United States,North America
YYC,YYC,CYYC,51.113889,-114.02,Calgary International Airport,Calgary,Alberta,Canada,North America
SLC,SLC,KSLC,40.788333,-111.977778,Salt Lake City International Airport,Salt Lake City,Utah,United States,North America
BOS,BOS,KBOS,42.363056,-71.006389,General Edward Lawrence Logan International Airport,Boston,Massachusetts,United States,North America
DEN,DEN,KDEN,39.861667,-104.673056,Denver International Airport,Denver,Colorado,United States,North America
SNA,SNA,KSNA,33.675556,-117.868333,John Wayne Airport,Orange County,California,United States,North America
MAF,MAF,KMAF,31.9425,-102.201944,Midland International Airport,Midland,Texas,United States,North America
HNL,HNL,PHNL,21.318611,-157.9225,Honolulu International Airport,Honolulu,Hawaii,United States,Polynesia
KOA,KOA,PHKO,19.738889,-156.045556,Kona International Airport,Kona,Hawaii,United States,Polynesia
ITO,ITO,PHTO,19.720278,-155.048333,Hilo International Airport,Hilo,Hawaii,United States,Polynesia
FRA,FRA,EDDF,50.033333,8.570556,Frankfurt Airport,Frankfurt,Hesse,Germany,Europe
YQM,YQM,CYQM,46.116111,-64.678611,Greater Moncton International Airport,Moncton,New Brunswick,Canada,North America
YHZ,YHZ,CYHZ,44.879722,-63.510278,Halifax Stanfield International Airport,Halifax,Nova Scotia,Canada,North America
KEF,KEF,BIKF,63.985,-22.605556,Keflavik International Airport,Keflavik,Sudurnes,Iceland,Europe
SNN,SNN,EINN,52.701944,-8.924722,Shannon Airport,Shannon,Clare,Ireland,Europe
DUB,DUB,EIDW,53.421389,-6.27,Dublin Airport,Dublin,Fingal,Ireland,Europe
GLA,GLA,EGPF,55.871944,-4.433056,Glasgow International Airport,Glasgow,Renfrewshire,Scotland,Europe
MAN,MAN,EGCC,53.353889,-2.275,Manchester Airport,Manchester,Lancashire,England,Europe
BHX,BHX,EGBB,52.453889,-1.748056,Birmingham Airport,Birmingham,West Midlands,England,Europe
LTN,LTN,EGGW,51.874722,-0.368333,London Luton Airport,London,Bedfordshire,England,Europe
LCY,LCY,EGLC,51.505278,0.055278,London City Airport,London,Greater London,England,Europe
MPL,MPL,LFMT,43.576389,3.963056,Montpellier-Mediterranee Airport,Montpellier,Languedoc-Roussillon,France,Europe
ZRH,ZRH,LSZH,47.464722,8.549167,Zurich Airport,Zurich,Zurich,Switzerland,Europe
MUC,MUC,EDDM,48.353889,11.786111,Munich Airport,Munich,Bavaria,Germany,Europe
SXF,SXF,EDDB,52.378611,13.520556,Berlin Schonefeld Airport,Berlin,Brandenburg,Germany,Europe
OSL,OSL,ENGM,60.202778,11.083889,Oslo Airport,Oslo,Akershus,Norway,Europe
HEL,HEL,EFHK,60.317222,24.963333,Helsinki-Vantaa Airport,Helsinki,Uusimaa,Finland,Europe
TOS,TOS,ENTC,69.681389,18.917778,Tromso Airport,Tromso,Troms,Norway,Europe
LYR,LYR,ENSB,78.246111,15.465556,Svalbard Airport,Longyearbyen,Svalbard,Norway,Europe
SCL,SCL,SCEL,-33.392778,-70.785556,Comodoro Arturo Merino Benítez International Airport,Santiago,Santiago,Chile,South America
BZE,BZE,MZBZ,17.539167,-88.308333,Philip S. W. Goldson International Airport,Belize City,Belize District,Belize,North America
EYW,EYW,KEYW,24.556111,-81.759556,Key West International Airport,Key West,Florida,United States,North America
